store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,image_label,small_image_label,thumbnail_label
admin,base,Default,simple,229,,0,Royce Leather Aristo Double Decker Playing Card SetRoyce Leather,,,/1/1/1151_1.jpg,/1/1/1151_1.jpg,/1/1/1151_1.jpg,royce-leather-aristo-double-decker-playing-card-setroyce-leather,royce-leather-aristo-double-decker-playing-card-setroyce-leather.html,,No layout updates,Product Info Column, ,Use config,Use config,No,35,,100,,Enabled,No,"Catalog, Search",None,Royce Leather Aristo Double Decker Playing Card SetRoyce Leather,Royce Leather Aristo Double Decker Playing Card SetRoyce Leather,,,,,,,,,7,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Royce Leather Aristo Double Decker Playing Card SetRoyce Leather,0,simple,,,,,
admin,base,Default,simple,"3,6,79,92",mt1,0,GIGABYTE GA-Z97X-UD3H Z97 ATX Motherboard,,,/g/g/ggg-102410088_main01_as2_mn.jpg,/g/g/ggg-102410088_main01_as2_mn.jpg,/g/g/ggg-102410088_main01_as2_mn.jpg,gigabyte-ga-z97x-ud3h-z97-atx-motherboard,gigabyte-ga-z97x-ud3h-z97-atx-motherboard.html,,No layout updates,Product Info Column, ,Use config,Use config,No,149.99,,20,,Enabled,No,"Catalog, Search",None,GIGABYTE GA-Z97X-UD3H Z97 ATX Motherboard,GIGABYTE GA-Z97X-UD3H Z97 ATX Motherboard,,,,,,,,,40,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,GIGABYTE GA-Z97X-UD3H Z97 ATX Motherboard,0,simple,,,,,
admin,base,Default,simple,,tk7,0,Belkin 55 Piece PC Tool Kit,,,/t/o/tolit7_1.jpg,/t/o/tolit7_1.jpg,/t/o/tolit7_1.jpg,belkin-55-piece-pc-tool-kit,belkin-55-piece-pc-tool-kit.html,,No layout updates,Product Info Column, ,Use config,Use config,No,43,,3,,Enabled,No,"Catalog, Search",Shipping,Belkin 55 Piece PC Tool Kit,Belkin 55 Piece PC Tool Kit,,,,,,,,,25,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Belkin 55 Piece PC Tool Kit,0,simple,,,,,
admin,base,Default,simple,,tk6,0,Belkin 36 Piece PC Tool Kit,,,/t/o/tolit7.jpg,/t/o/tolit7.jpg,/t/o/tolit7.jpg,belkin-36-piece-pc-tool-kit,belkin-36-piece-pc-tool-kit.html,,No layout updates,Product Info Column, ,Use config,Use config,No,39,,3,,Enabled,No,"Catalog, Search",Shipping,Belkin 36 Piece PC Tool Kit,Belkin 36 Piece PC Tool Kit,,,,,,,,,25,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Belkin 36 Piece PC Tool Kit,0,simple,,,,,
admin,base,Default,simple,,tk5,0,Ultra 130 Piece Premium Tool Kit,,,/t/o/tolkit5.jpg,/t/o/tolkit5.jpg,/t/o/tolkit5.jpg,ultra-130-piece-premium-tool-kit,ultra-130-piece-premium-tool-kit.html,,No layout updates,Product Info Column, ,Use config,Use config,No,39,,3,,Enabled,No,"Catalog, Search",Shipping,Ultra 130 Piece Premium Tool Kit,Ultra 130 Piece Premium Tool Kit,,,,,,,,,25,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Ultra 130 Piece Premium Tool Kit,0,simple,,,,,
admin,base,Default,simple,,tk3,0,Fellowes 49107 100-piece Tool Kit,,,/t/o/tolkit3.jpg,/t/o/tolkit3.jpg,/t/o/tolkit3.jpg,fellowes-49107-100-piece-tool-kit,fellowes-49107-100-piece-tool-kit.html,,No layout updates,Product Info Column, ,Use config,Use config,No,90,,3,,Enabled,No,"Catalog, Search",Shipping,Fellowes 49107 100-piece Tool Kit,Fellowes 49107 100-piece Tool Kit,,,,,,,,,25,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Fellowes 49107 100-piece Tool Kit,0,simple,,,,,
admin,base,Default,simple,"3,6,79,92",mo2,0,Gigabyte GA-Z97M-DS3H Micro-ATX Intel Motherboard,,,,,,gigabyte-ga-z97x-ud3h-z97-atx-motherboard,gigabyte-ga-z97x-ud3h-z97-atx-motherboard.html,,No layout updates,Product Info Column, ,Use config,Use config,No,99.99,,20,,Enabled,No,"Catalog, Search",None,Gigabyte GA-Z97M-DS3H Micro-ATX Intel Motherboard,Gigabyte GA-Z97M-DS3H Micro-ATX Intel Motherboard,,,,,,,,,40,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Gigabyte GA-Z97M-DS3H Micro-ATX Intel Motherboard,0,simple,,,,,
admin,base,Default,simple,,,0,Cables To Go Field Service Engineer Tool Kit,,,,,,cables-to-go-field-service-engineer-tool-kit,cables-to-go-field-service-engineer-tool-kit.html,,No layout updates,Product Info Column, ,Use config,Use config,No,155,,3,,Enabled,No,"Catalog, Search",Shipping,Cables To Go Field Service Engineer Tool Kit,Cables To Go Field Service Engineer Tool Kit,,,,,,,,,25,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Cables To Go Field Service Engineer Tool Kit,0,simple,,,,,
admin,base,Default,simple,,,0,"TrippLite SmartRack SRBOLTDOWN Bolt-down Kit - Secure to Concrete Floor, Nuts and Bolts",,,,,,tripplite-smartrack-srboltdown-bolt-down-kit-secure-to-concrete-floor-nuts-and-bolts,tripplite-smartrack-srboltdown-bolt-down-kit-secure-to-concrete-floor-nuts-and-bolts.html,,No layout updates,Product Info Column, ,Use config,Use config,No,1123,,1,,Enabled,No,"Catalog, Search",Shipping,"TrippLite SmartRack SRBOLTDOWN Bolt-down Kit - Secure to Concrete Floor, Nuts and Bolts","TrippLite SmartRack SRBOLTDOWN Bolt-down Kit - Secure to Concrete Floor, Nuts and Bolts",,,,,,,,,25,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"TrippLite SmartRack SRBOLTDOWN Bolt-down Kit - Secure to Concrete Floor, Nuts and Bolts",0,simple,,,,,
admin,base,Default,simple,,,0,Royce Leather Double Decker Playing Card Case,,,,,,royce-leather-double-decker-playing-card-case,royce-leather-double-decker-playing-card-case.html,,No layout updates,Product Info Column, ,Use config,Use config,No,35,,100,,Enabled,No,"Catalog, Search",None,Royce Leather Double Decker Playing Card Case,Royce Leather Double Decker Playing Card Case,,,,,,,,,8,0,1,0,0,1,1,1,0,1,0,,,1,0,1,0,1,0,1,0,0,0,1,Royce Leather Double Decker Playing Card Case,0,simple,,,,,
