store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2,3,32,45",9132,0,Rusty Tin-Tiques Tin Cut-Outs-Moose,,,,,,glitter-75-ounce-lime,glitter-75-ounce-lime.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,3,,1,,Enabled,No,"Catalog, Search",None,Rusty Tin-Tiques Tin Cut-Outs-Moose,Rusty Tin-Tiques Tin Cut-Outs-Moose,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Rusty Tin-Tiques Tin Cut-Outs-Moose,0,simple,,
admin,base,Default,simple,"2,3,32,45",9133,0,Rusty Tin-Tiques Tin Cut-Outs-Bear,,,,,,glitter-75-ounce-lime,glitter-75-ounce-lime.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,3,,1,,Enabled,No,"Catalog, Search",None,Rusty Tin-Tiques Tin Cut-Outs-Bear,Rusty Tin-Tiques Tin Cut-Outs-Bear,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Rusty Tin-Tiques Tin Cut-Outs-Bear,0,simple,,
admin,base,Default,simple,"2,3,32,45",9134,0,Rusty Tin-Tiques Tin Cut-Outs-Folk Heart,,,,,,glitter-75-ounce-lime,glitter-75-ounce-lime.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,3,,1,,Enabled,No,"Catalog, Search",None,Rusty Tin-Tiques Tin Cut-Outs-Folk Heart,Rusty Tin-Tiques Tin Cut-Outs-Folk Heart,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Rusty Tin-Tiques Tin Cut-Outs-Folk Heart,0,simple,,
admin,base,Default,simple,"2,3,32,45",9135,0,Glitter Glue 4 Ounces-Red,,,,,,glitter-75-ounce-lime,glitter-75-ounce-lime.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,3,,1,,Enabled,No,"Catalog, Search",None,Glitter Glue 4 Ounces-Red,Glitter Glue 4 Ounces-Red,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Glitter Glue 4 Ounces-Red,0,simple,,
admin,base,Default,simple,"2,3,32,45",9136,0,Glitter Glue Pens .41 Ounce,,,,,,glitter-75-ounce-lime,glitter-75-ounce-lime.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,3,,1,,Enabled,No,"Catalog, Search",None,Glitter Glue Pens .41 Ounce,Glitter Glue Pens .41 Ounce,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Glitter Glue Pens .41 Ounce,0,simple,,
admin,base,Default,simple,"2,3,32,45",9137,0,Wedding Foiled Cardstock Stickers-Icons,,,,,,glitter-75-ounce-lime,glitter-75-ounce-lime.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,3,,1,,Enabled,No,"Catalog, Search",None,Wedding Foiled Cardstock Stickers-Icons,Wedding Foiled Cardstock Stickers-Icons,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Wedding Foiled Cardstock Stickers-Icons,0,simple,,
admin,base,Default,simple,"2,3,32,46",9141,0,Fishing Tackle Box,,,,,,fishing-tackle-box,fishing-tackle-box.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,25,,1,,Enabled,No,"Catalog, Search",None,Fishing Tackle Box,Fishing Tackle Box,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Fishing Tackle Box,0,simple,,
admin,base,Default,simple,"2,3,32,46",9142,0,All-Weather Blue/Gray Rain Jacke,,,,,,fishing-tackle-box,fishing-tackle-box.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,10,,1,,Enabled,No,"Catalog, Search",None,All-Weather Blue/Gray Rain Jacke,All-Weather Blue/Gray Rain Jacke,,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,All-Weather Blue/Gray Rain Jacke,0,simple,,
admin,base,Default,simple,"2,3,32,46",9143,0,"All-Weather 42"" Clear Dome Umbrella",,,,,,fishing-tackle-box,fishing-tackle-box.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,10,,1,,Enabled,No,"Catalog, Search",None,"All-Weather 42"" Clear Dome Umbrella","All-Weather 42"" Clear Dome Umbrella",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"All-Weather 42"" Clear Dome Umbrella",0,simple,,
admin,base,Default,simple,"2,3,32,46",9144,0,"All-Weather 48"" Auto-Open Umbrella",,,,,,fishing-tackle-box,fishing-tackle-box.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,10,,1,,Enabled,No,"Catalog, Search",None,"All-Weather 48"" Auto-Open Umbrella","All-Weather 48"" Auto-Open Umbrella",,,,,,,,,10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"All-Weather 48"" Auto-Open Umbrella",0,simple,,
