store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,image_label,small_image_label,thumbnail_label
admin,base,Default,simple,"3,5,36,40",2,0,Bushnell Trophy TRS-25 Red DOT Sight Rif,,,,,,celestron-71347-outland-x-10x42-binoculars,celestron-71347-outland-x-10x42-binoculars-172.html,,No layout updates,Product Info Column, ,Use config,Use config,No,56.49,,3,,Enabled,No,"Catalog, Search",Shipping,"Bushnell Trophy TRS-25 Red DOT Sight Rif Product Details
Trophy Red DOT
TRS 1x 25mm

A reliable, 3 MOA red dot sight with unlimited eye relief for handguns and shotguns.",Bushnell Trophy TRS-25 Red DOT Sight Rif,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Bushnell Trophy TRS-25 Red DOT Sight Rif,0,simple,,,,,
admin,base,Default,simple,"3,5,36,40",hytd34,0,AMD A10-5800K/GB A68/4GB/1TB/650W/CS,,,,,,amd-a10-5800k-gb-a68-4gb-1tb-650w-cs,amd-a10-5800k-gb-a68-4gb-1tb-650w-cs.html,,No layout updates,Product Info Column, ,Use config,Use config,No,309.94,,300,,Enabled,No,"Catalog, Search",None,AMD A10-5800K/GB A68/4GB/1TB/650W/CS,AMD A10-5800K/GB A68/4GB/1TB/650W/CS,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,AMD A10-5800K/GB A68/4GB/1TB/650W/CS,0,simple,,,,,
admin,base,Default,simple,"3,5,36,40",int23,0,INTEL I3 4150/GB B85/4GB/1TB/450W/CS,,,,,,intel-i3-4150-gb-b85-4gb-1tb-450w-cs,intel-i3-4150-gb-b85-4gb-1tb-450w-cs.html,,No layout updates,Product Info Column, ,Use config,Use config,No,294.99,,250,,Enabled,No,"Catalog, Search",None,INTEL I3 4150/GB B85/4GB/1TB/450W/CS,INTEL I3 4150/GB B85/4GB/1TB/450W/CS,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,INTEL I3 4150/GB B85/4GB/1TB/450W/CS,0,simple,,,,,
admin,base,Default,simple,"3,5,36,40",der456,0,AMD A6-5400K/GB A68/4GB/1TB/450W/CS,,,,,,amd-a6-5400k-gb-a68-4gb-1tb-450w-cs,amd-a6-5400k-gb-a68-4gb-1tb-450w-cs.html,,No layout updates,Product Info Column, ,Use config,Use config,No,189.99,,250,,Enabled,No,"Catalog, Search",None,AMD A6-5400K/GB A68/4GB/1TB/450W/CS,AMD A6-5400K/GB A68/4GB/1TB/450W/CS,,,,,,,,,50,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,AMD A6-5400K/GB A68/4GB/1TB/450W/CS,0,simple,,,,,
admin,base,Default,simple,"3,5,36,41",cde23,0,INTEL 4690K/MSI Z97/8GB/120GB/500W/CS,,,,,,intel-4690k-msi-z97-8gb-120gb-500w-cs,intel-4690k-msi-z97-8gb-120gb-500w-cs.html,,No layout updates,Product Info Column, ,Use config,Use config,No,539.99,,250,,Enabled,No,"Catalog, Search",None,INTEL 4690K/MSI Z97/8GB/120GB/500W/CS,INTEL 4690K/MSI Z97/8GB/120GB/500W/CS,,,,,,,,,80,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,INTEL 4690K/MSI Z97/8GB/120GB/500W/CS,0,simple,,,,,
admin,base,Default,simple,"3,5,36,41",int45,0,INTEL 4590 / GB B85 / 8GB / 120GB SSD / 650W,,,,,,intel-4590-gb-b85-8gb-120gb-ssd-650w,intel-4590-gb-b85-8gb-120gb-ssd-650w.html,,No layout updates,Product Info Column, ,Use config,Use config,No,419.99,,300,,Enabled,No,"Catalog, Search",None,INTEL 4590 / GB B85 / 8GB / 120GB SSD / 650W,INTEL 4590 / GB B85 / 8GB / 120GB SSD / 650W,,,,,,,,,70,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,INTEL 4590 / GB B85 / 8GB / 120GB SSD / 650W,0,simple,,,,,
admin,base,Default,simple,"3,5,36,41",intr347,0,AMD A4-7300/GB A68/4GB/1TB/450W/CS,,,,,,amd-a4-7300-gb-a68-4gb-1tb-450w-cs,amd-a4-7300-gb-a68-4gb-1tb-450w-cs.html,,No layout updates,Product Info Column, ,Use config,Use config,No,194.99,,300,,Enabled,No,"Catalog, Search",None,AMD A4-7300/GB A68/4GB/1TB/450W/CS,AMD A4-7300/GB A68/4GB/1TB/450W/CS,,,,,,,,,60,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,AMD A4-7300/GB A68/4GB/1TB/450W/CS,0,simple,,,,,
admin,base,Default,simple,"3,5,36,41",sam1,0,Samsung XE303C12-A01US Chromebook - Dual-Core 1.7GHz,,,,,,samsung-xe303c12-a01us-chromebook-dual-core-1-7ghz,samsung-xe303c12-a01us-chromebook-dual-core-1-7ghz.html,,No layout updates,Product Info Column, ,Use config,Use config,No,249.99,199.99,100,,Enabled,No,"Catalog, Search",None,"Samsung XE303C12-A01US Chromebook - Dual-Core 1.7GHz, 2GB DDR3L, 16GB eMMC, 11.6"" Display, Google Chrome OS, WiFi","Samsung XE303C12-A01US Chromebook - Dual-Core 1.7GHz, 2GB DDR3L, 16GB eMMC, 11.6"" Display, Google Chrome OS, WiFi",,,28/02/2015 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Samsung XE303C12-A01US Chromebook - Dual-Core 1.7GHz,0,simple,,,,,
admin,base,Default,simple,"3,5,36,41",sam2,0,Samsung Chromebook 2 - Samsung Exynos 5 Octa 5800 2.00GHz,,,,,,samsung-xe303c12-a01us-chromebook-dual-core-1-7ghz,samsung-xe303c12-a01us-chromebook-dual-core-1-7ghz.html,,No layout updates,Product Info Column, ,Use config,Use config,No,399.99,,100,,Enabled,No,"Catalog, Search",None,"Samsung Chromebook 2 - Samsung Exynos 5 Octa 5800 2.00GHz, 4GB Memory, 16GB eMMC Flash Drive, 13.3"" Display, Google Chrome OS - XE503C32-K01US","Samsung Chromebook 2 - Samsung Exynos 5 Octa 5800 2.00GHz, 4GB Memory, 16GB eMMC Flash Drive, 13.3"" Display, Google Chrome OS - XE503C32-K01US",,,28/02/2015 00:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Samsung Chromebook 2 - Samsung Exynos 5 Octa 5800 2.00GHz,0,simple,,,,,
admin,base,Default,simple,"3,5,36,41",ac1,0,Acer CB5-311-T7NN NVIDIA Tegra K1 2GB Memory ,,,,,,acer-cb5-311-t7nn-nvidia-tegra-k1-2gb-memory,acer-cb5-311-t7nn-nvidia-tegra-k1-2gb-memory.html,,No layout updates,Product Info Column, ,Use config,Use config,No,279.99,,250,,Enabled,No,"Catalog, Search",None,"Acer CB5-311-T7NN NVIDIA Tegra K1 2GB Memory 16GB Internal Storage 13.3"" Chromebook Google Chrome OS - NX.MPRAA.001","Acer CB5-311-T7NN NVIDIA Tegra K1 2GB Memory 16GB Internal Storage 13.3"" Chromebook Google Chrome OS - NX.MPRAA.001",,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Acer CB5-311-T7NN NVIDIA Tegra K1 2GB Memory ,0,simple,,,,,
